id,author,id,authorThumb,text,likes,time,timestamp,edited,hasReplies,,numReplies,reply.id,,,,,
Ugw__ECKTR9PlHJwHfl4AaABAg,alden ata,/channel/UCdXFRXpacWVsKarsrDJnO7w,https://yt3.ggpht.com/a/AGF-l79hrvTcAFolewdWIdtD1kreCxHOAggpUbgnJQ=s48-c-k-c0xffffffff-no-rj-mo,this well make happen third world war 2,0,7 hours ago,1578485797241,false,false,,,,,,,,
Ugw_1gUOc6Qe2kRq6354AaABAg,Syed Shahid,/channel/UCA4MYI7Kpc9rXPWtEUZiGAA,https://yt3.ggpht.com/a/AGF-l79sDJ_0ZKL-ajVAsmaNExRMr8igugFrFIWHWg=s48-c-k-c0xffffffff-no-rj-mo,The US is a terrorist nation,0,4 hours ago,1578496594696,false,false,,,,,,,,
Ugw_1lho8stcfY_rvZZ4AaABAg,Manish Tripathi,/channel/UCw1ECz_Nq7Z9J_UWehIFSYg,https://yt3.ggpht.com/a/AGF-l79BdUJWQPPtE4nXt1XUKu0bdN1x7zSvP2zetg=s48-c-k-c0xffffffff-no-rj-mo,Just waiting for WW3😊,1,4 days ago,1578165573649,false,false,,,,,,,,
Ugw_4eVvA1RWBoPudyh4AaABAg,lewisdean22,/channel/UCQN9599MzWPGjGtFBfZiu4Q,https://yt3.ggpht.com/a/AGF-l79KGu444dIUrYcOtzFljXiE8NDKlN7cEvlWpQ=s48-c-k-c0xffffffff-no-rj-mo,Remember war is just business and profits must be made.,0,22 hours ago,1578431807822,false,false,,,,,,,,
Ugw_eQsCHCGLBjbCM_R4AaABAg,Benztheking316,/channel/UC7ZnTErWkV0HnfKTvoNEbOQ,https://yt3.ggpht.com/a/AGF-l7_FoPPgfHasfBtKD8S1OFD5G3ocNZBWW9d_-Q=s48-c-k-c0xffffffff-no-rj-mo,Call Of Duty looks brilliant,0,5 days ago,1578079251468,false,false,,,,,,,,
Ugw_fvPDBHOaX02xAj94AaABAg,Daniel Daniel,/channel/UC93iSlqv3j8fNfOpB4Tb1LQ,https://yt3.ggpht.com/a/AGF-l7-Z2iS9yUWsTYJdLpNaXrA5EO3uCvWUc6ylpw=s48-c-k-c0xffffffff-no-rj-mo,Amerika power full God bles you,0,2 days ago,1578338250637,false,false,,,,,,,,
Ugw_ICKvAYBwrX7SRRt4AaABAg,Mehemmed Russia,/channel/UCQdPQoBkicpsjiZ1XSCzbUw,https://yt3.ggpht.com/a/AGF-l7_KTvwdrFTByheh6QeKhD4GMqv1gVfbF7G8ew=s48-c-k-c0xffffffff-no-rj-mo,No war !,0,2 days ago,1578338250626,false,false,,,,,,,,
Ugw_lEbWz0whfakZskl4AaABAg,Sunny Dhar,/channel/UCkhAkCEeuVFMaP1JGNNpHJQ,https://yt3.ggpht.com/a/AGF-l7_KrHzAehVomPIuo1ZALFLSlYGOd24Kv8epSg=s48-c-k-c0xffffffff-no-rj-mo,Is this v6 challenger even worth it if they give me hellcat I'll stay,0,3 days ago,1578251897683,false,false,,,,,,,,
Ugw_lF4enYuY5MKmS0x4AaABAg,Don DoDat,/channel/UCExSM40sFys2NnfoPrfPkzQ,https://yt3.ggpht.com/a/AGF-l79CxUAnkRoEiEXbfdrh7pqPOt6NErOREgfQqQ=s48-c-k-c0xffffffff-no-rj-mo,"The world war 3 just began. 😡 \nI saw so many super stupid comments get so many thumbs up their ass , then I thought if i put a stupid comment I probably get a lot of thumbs up too. The worst one is the comment that got the most thumbs up how asss , who is here after the Iranian general got killed. Focking idiot,  this whole issue is because of that killing.  You see how focking stupid the public is ???",0,4 days ago,1578165577174,true,false,,,,,,,,
Ugw_pwLryR7TZCDegSB4AaABAg,kian jet,/channel/UCglX9QWX7MYEAvRxBuRvfxQ,https://yt3.ggpht.com/a/AGF-l7-Y_Olh_bkrhXg9W0EBf3r9tc949UCIjlYXyg=s48-c-k-c0xffffffff-no-rj-mo,"TRUMP,he dosent undrestand ,it isnt Hollywood ,american soldiers hast no experience about war but iran ,irag,libanon ,syrien has a long experience  and they dont affraid to die ,just kill enemy .i am sure american soldier are afraid to die .if it becomes war and this time ,usa is going to loose tusens tusens soldiers and it become a long war and usa is going to loose very hard and china and russian is laughing at usa,",0,5 days ago,1578079205091,false,false,,,,,,,,
Ugw_XAj_bgVj5yi8X9R4AaABAg,AniMe Hub HUB,/channel/UCQ4okou399LLRbQPem-umuA,https://yt3.ggpht.com/a/AGF-l7_rJ00tefK-tBqI2ZXDDSu98TSICXFgJ84tug=s48-c-k-c0xffffffff-no-rj-mo,"Watch out Jan 18, 2020",0,1 day ago,1578424612842,false,false,,,,,,,,
Ugw_XAtpRvdKrBsQFUB4AaABAg,Fahad Hassan,/channel/UC7bw2dzUaNvCkLMEXk4zUFA,https://yt3.ggpht.com/a/AGF-l7-u2-ynpov7l_8_JEIxunGfSSSRULwBOD18FA=s48-c-k-c0xffffffff-no-rj-mo,America is going to pay!,0,4 days ago,1578165535507,false,false,,,,,,,,
Ugw_ZLHz5zdu8rB10SV4AaABAg,vincent ang,/channel/UCtEVxcn85ICpJ44icy2NVwQ,https://yt3.ggpht.com/a/AGF-l79KBV0mgsNfkvCRNTCuI0RdnVIUTvmRXzhoHg=s48-c-k-c0xffffffff-no-rj-mo,At the end US just reunify the sunns and shias.,0,5 days ago,1578079208291,false,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3X1pMSHo1emR1OHJCMTBTVjRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,3,,,,,,
Ugw-0IE4aUg4vzLMhsd4AaABAg,E4zYsight - PUBG Mobile,/channel/UCh3CUO1UNxU4Ko5BbATs38Q,https://yt3.ggpht.com/a/AGF-l7-Q28akAAYngZQeKhfwN5k2FacWdWzjlOddOw=s48-c-k-c0xffffffff-no-rj-mo,being serious.. me and the boys?,0,3 days ago,1578251879778,false,false,,,,,,,,
Ugw-5xO2s8FRlQdF1r54AaABAg,David Mellors,/channel/UCKAW3L1-GqvgSZyD8rHbZ7g,https://yt3.ggpht.com/a/AGF-l783LsA3iqIsS9Klf4Dxl9yEAMgEyvYvn-j4Uw=s48-c-k-c0xffffffff-no-rj-mo,I find this ridiculous that these soldiers might have to go to war cause of trump 😭,1,2 hours ago,1578503793031,false,false,,,,,,,,
Ugw-9BZH920P6ns9OH54AaABAg,Arcturus Starr,/channel/UCjrbbnewQo1OeBqMZ2wUV6A,https://yt3.ggpht.com/a/AGF-l7_gfdJJHzZlrnuh-rTmOxw9C1xzv1FnycG13A=s48-c-k-c0xffffffff-no-rj-mo,"Yeah, what would you do with your rusty weapon? It is time to use ‘em",0,2 hours ago,1578503793039,true,false,,,,,,,,
Ugw-BmDJ3cR9b_iUoXx4AaABAg,Falis Aden,/channel/UCoYtDRAeSye2jeZBWTUIIjg,https://yt3.ggpht.com/a/AGF-l7-bpRBim-J3N7A7OtmWRYeSaCc9Oc_2x5zmcQ=s48-c-k-c0xffffffff-no-rj-mo,Donald duck needs to send his 2 dumb sons to iran if he wants war....why send someone else son to  die?  Surely he don't care about any of you americans even those who voted for him,0,7 hours ago,1578485796488,false,false,,,,,,,,
Ugw-dhC_IZErGfonuo14AaABAg,Tragic x MnK,/channel/UCpM8_4Z9nZ-c4u3JD82Y-yA,https://yt3.ggpht.com/a/AGF-l78wQ3USp5pvSLsv5pygVdJOACpMg2x5ljH1Kw=s48-c-k-c0xffffffff-no-rj-mo,Stay safe brothers,0,1 day ago,1578424623179,false,false,,,,,,,,
Ugw-iOColwWFFv6gKtp4AaABAg,maquindy Zamy,/channel/UCrlgiy72rnoGcAxlbmz32Ng,https://yt3.ggpht.com/a/AGF-l7-uTMyTs3mRDOmyMcAg1c4MO6v2PiT7dGoLUQ=s48-c-k-c0xffffffff-no-rj-mo,Tromp kouche nan koko madan m li lap voye piti t bondye al mouri,0,2 days ago,1578338232093,false,false,,,,,,,,
Ugw-k33a-FAeVhM9dVN4AaABAg,Bryan Thompson,/channel/UCT7R7BKmcM2kIx-vYDzSgGQ,https://yt3.ggpht.com/a/AGF-l79dV0tGRgHBl6F5rg0o0uvR9tTbbMbZHBzI3A=s48-c-k-c0xffffffff-no-rj-mo,Time for Call of Duty gamers to volunteer to serve,0,2 days ago,1578338253439,false,false,,,,,,,,
Ugw-lssbfm3uTLiOeC94AaABAg,Colin Doherty,/channel/UCkpoo_J1mxOIQ3Y2XaVcZSA,https://yt3.ggpht.com/a/AGF-l7_R9gV-qhceIqpgyr-vyyGw-ZnqYo4mH3BCcg=s48-c-k-c0xffffffff-no-rj-mo,"USA bully boys, You will pay for thinking you can rule the world.",0,1 day ago,1578424621929,false,false,,,,,,,,
Ugw-Mnj6BvUljiEbl214AaABAg,Jack Yan,/channel/UCRIz2wZnmS_17QStV8hhH1A,https://yt3.ggpht.com/a/AGF-l78nydTQxW62FhXETWw00AeyV3MF7DRxCZeKNg=s48-c-k-c0xffffffff-no-rj-mo,World war 3 is going to start.,0,3 days ago,1578251915082,false,false,,,,,,,,
Ugw-o5It2Wbh8Ds3iXd4AaABAg,Brian J. Wood,/channel/UCW84sysG6gz62kMCtWtoLaQ,https://yt3.ggpht.com/a/AGF-l78gAPVH8MwS4f0AqWJbJXZpXo0hRikzIhk8zg=s48-c-k-c0xffffffff-no-rj-mo,Trump's re-election strategy.Gonna be lots of dead and injured bodies. Let's hope it backfires.,1,3 days ago,1578251904952,false,false,,,,,,,,
Ugw-ObAba73J4NNIhrt4AaABAg,firs sep,/channel/UCNGP7i0HKvsbJIT7GXhZFpg,https://yt3.ggpht.com/a/AGF-l79tFUhfZyyqdTYGkVqg83x57S5_fEefs516yQ=s48-c-k-c0xffffffff-no-rj-mo,Terrorist president is sending american to graveyards.,0,9 hours ago,1578478599537,false,false,,,,,,,,
Ugw-qOxaQJbQE1p_-H54AaABAg,King Hidayat,/channel/UCATkNXepqbwJHOsxJbc0haQ,https://yt3.ggpht.com/a/AGF-l7-Vg9-3pm-cU5oHuxR9XRLSX_8rny22uYRXSg=s48-c-k-c0xffffffff-no-rj-mo,Not a single person life will spare...nd not a single person in this video will came back to home safe and sounded....InShAllah...,0,4 days ago,1578165587181,false,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3LXFPeGFRSmJRRTFwXy1INTRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,1,,,,,,
